50mtorr_70W
Integration time [ms]: 2000,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 1004019U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 541,10;  556,200;    0,000;    0,000
 541,17;  664,333;    0,000;    0,000
 541,24;  739,800;    0,000;    0,000
 541,31;  797,333;    0,000;    0,000
 541,38;  529,467;    0,000;    0,000
 541,46;  435,267;    0,000;    0,000
 541,53;  520,800;    0,000;    0,000
 541,60;  818,667;    0,000;    0,000
 541,67; 1451,933;    0,000;    0,000
 541,74; 4004,067;    0,000;    0,000
 541,82; 5264,467;    0,000;    0,000
 541,89; 4698,000;    0,000;    0,000
 541,96; 2015,600;    0,000;    0,000
 542,03;  691,933;    0,000;    0,000
 542,10;  642,800;    0,000;    0,000
 542,17;  581,533;    0,000;    0,000
 542,25;  392,333;    0,000;    0,000
 542,32;  628,800;    0,000;    0,000
 542,39;  679,800;    0,000;    0,000
 542,46;  791,467;    0,000;    0,000
 542,53;  435,400;    0,000;    0,000
 542,61;  501,400;    0,000;    0,000
 542,68;  576,200;    0,000;    0,000
 542,75;  679,333;    0,000;    0,000
 542,82;  491,400;    0,000;    0,000
 542,89;  600,667;    0,000;    0,000
 542,97;  720,467;    0,000;    0,000
 543,04;  823,933;    0,000;    0,000
 543,11;  573,733;    0,000;    0,000
 543,18;  589,400;    0,000;    0,000
 543,25;  792,533;    0,000;    0,000
 543,33; 1449,867;    0,000;    0,000
 543,40; 2461,267;    0,000;    0,000
 543,47; 3556,933;    0,000;    0,000
 543,54; 4322,200;    0,000;    0,000
 543,61; 3523,400;    0,000;    0,000
 543,68; 2438,933;    0,000;    0,000
 543,76; 1565,333;    0,000;    0,000
 543,83; 1387,867;    0,000;    0,000
 543,90; 1167,400;    0,000;    0,000
 543,97;  645,333;    0,000;    0,000
 544,04;  572,533;    0,000;    0,000
 544,12;  776,333;    0,000;    0,000
 544,19;  814,467;    0,000;    0,000
 544,26;  715,267;    0,000;    0,000
 544,33;  742,267;    0,000;    0,000
 544,40;  822,667;    0,000;    0,000
 544,47;  880,267;    0,000;    0,000
