50mtorr70W
Integration time [ms]: 200,000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1004020U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 739,29; -104,960;    0,000;    0,000
 739,35;  -57,510;    0,000;    0,000
 739,42;  -18,200;    0,000;    0,000
 739,48;  -10,470;    0,000;    0,000
 739,55; -118,760;    0,000;    0,000
 739,61;   26,040;    0,000;    0,000
 739,67;  -94,740;    0,000;    0,000
 739,74; -152,280;    0,000;    0,000
 739,80; -120,930;    0,000;    0,000
 739,87;  -10,790;    0,000;    0,000
 739,93;  -25,100;    0,000;    0,000
 739,99;   -5,450;    0,000;    0,000
 740,06; -136,090;    0,000;    0,000
 740,12; -123,030;    0,000;    0,000
 740,19; -108,190;    0,000;    0,000
 740,25;   44,710;    0,000;    0,000
 740,31;  -39,150;    0,000;    0,000
 740,38;  -32,640;    0,000;    0,000
 740,44;  -60,080;    0,000;    0,000
 740,51;   -2,290;    0,000;    0,000
 740,57;  -65,780;    0,000;    0,000
 740,63;  -34,670;    0,000;    0,000
 740,70;  -20,140;    0,000;    0,000
 740,76;  -24,380;    0,000;    0,000
 740,83;  -34,940;    0,000;    0,000
 740,89;  -36,140;    0,000;    0,000
 740,95;  -17,800;    0,000;    0,000
 741,02;  -10,410;    0,000;    0,000
 741,08;  -35,040;    0,000;    0,000
 741,15;  -49,510;    0,000;    0,000
 741,21;   39,320;    0,000;    0,000
 741,27; -104,100;    0,000;    0,000
 741,34;  -13,210;    0,000;    0,000
 741,40;  -30,290;    0,000;    0,000
 741,47;  106,370;    0,000;    0,000
 741,53;   72,500;    0,000;    0,000
 741,59;  -12,990;    0,000;    0,000
 741,66;  196,110;    0,000;    0,000
 741,72;  -86,010;    0,000;    0,000
 741,79;   26,860;    0,000;    0,000
 741,85;    2,060;    0,000;    0,000
 741,91;  -29,730;    0,000;    0,000
 741,98;  -35,770;    0,000;    0,000
 742,04;  -43,860;    0,000;    0,000
 742,10; -100,580;    0,000;    0,000
 742,17;   -6,050;    0,000;    0,000
 742,23;   -1,160;    0,000;    0,000
 742,30;   -9,730;    0,000;    0,000
 742,36;   32,030;    0,000;    0,000
 742,42;  -49,960;    0,000;    0,000
 742,49;   28,710;    0,000;    0,000
 742,55;   34,880;    0,000;    0,000
 742,61;   41,420;    0,000;    0,000
 742,68; -106,270;    0,000;    0,000
 742,74;   35,430;    0,000;    0,000
 742,81;  -15,320;    0,000;    0,000
 742,87;  -48,920;    0,000;    0,000
 742,93;   -6,180;    0,000;    0,000
 743,00;  -31,290;    0,000;    0,000
 743,06;   15,870;    0,000;    0,000
 743,13;  156,880;    0,000;    0,000
 743,19;  -44,500;    0,000;    0,000
 743,25;  -55,380;    0,000;    0,000
 743,32;  -76,070;    0,000;    0,000
 743,38;  -22,140;    0,000;    0,000
 743,44;   33,450;    0,000;    0,000
